libltdl: 51 total files, 0 missing files
libmad: 9 total files, 0 missing files
libmatroska: 36 total files, 0 missing files
libmng: 21 total files, 0 missing files
libmodplug: 17 total files, 0 missing files
libmp4v2: 38 total files, 0 missing files
libmpc: 10 total files, 0 missing files
libmpcdec: 19 total files, 0 missing files
libmpeg2: 24 total files, 0 missing files
libnl: 178 total files, 0 missing files
libnotify: 37 total files, 0 missing files
libogg: 105 total files, 0 missing files
libpaper: 101 total files, 0 missing files
libpciaccess: 13 total files, 0 missing files
libpipeline: 78 total files, 0 missing files
libplist: 38 total files, 0 missing files
libpng: 34 total files, 0 missing files
libpng12: 19 total files, 0 missing files
libproxy: 33 total files, 0 missing files
libpulse: 81 total files, 0 missing files
libqzeitgeist: 47 total files, 0 missing files
libraw: 42 total files, 0 missing files
librsvg: 61 total files, 0 missing files
libsamplerate: 30 total files, 0 missing files
libsasl: 52 total files, 0 missing files
libseccomp: 35 total files, 0 missing files
libsecret: 174 total files, 0 missing files
libshout: 20 total files, 0 missing files
libsigc++: 57 total files, 0 missing files
libsm: 21 total files, 0 missing files
libsndfile: 53 total files, 0 missing files
libsoup: 314 total files, 0 missing files
libspectre: 17 total files, 0 missing files
libspiro: 10 total files, 0 missing files
libssh2: 181 total files, 0 missing files
libsystemd: 23 total files, 0 missing files
libtar: 88 total files, 0 missing files
libtasn1: 58 total files, 0 missing files
libthai: 29 total files, 0 missing files
libtheora: 104 total files, 0 missing files
libtiff: 269 total files, 0 missing files
libtiger: 11 total files, 0 missing files
libtirpc: 70 total files, 0 missing files
libtool: 30 total files, 0 missing files
libunistring: 52 total files, 0 missing files
libupnp: 37 total files, 0 missing files
libusb: 10 total files, 0 missing files
libusb-compat: 11 total files, 0 missing files
libutempter: 18 total files, 0 missing files
libutil-linux: 11 total files, 0 missing files
libva: 71 total files, 0 missing files
libvdpau: 21 total files, 0 missing files
libvisual: 63 total files, 0 missing files
libvorbis: 174 total files, 0 missing files
libvpx: 28 total files, 0 missing files
libwbclient: 13 total files, 0 missing files
libwebp: 43 total files, 0 missing files
libwmf: 47 total files, 0 missing files
libwnck: 339 total files, 0 missing files
libwnck3: 353 total files, 0 missing files
libx11: 1250 total files, 0 missing files
libxau: 25 total files, 0 missing files
libxaw: 143 total files, 0 missing files
libxcb: 2397 total files, 0 missing files
libxcomposite: 29 total files, 0 missing files
libxcursor: 49 total files, 0 missing files
libxdamage: 15 total files, 0 missing files
libxdg-basedir: 14 total files, 0 missing files
libxdmcp: 17 total files, 0 missing files
libxext: 100 total files, 0 missing files
libxfce4ui: 218 total files, 0 missing files
libxfce4util: 210 total files, 0 missing files
libxfixes: 18 total files, 0 missing files
libxfont: 29 total files, 0 missing files
libxft: 19 total files, 0 missing files
libxi: 96 total files, 0 missing files
libxinerama: 23 total files, 0 missing files
libxkbcommon: 113 total files, 0 missing files
libxkbfile: 20 total files, 0 missing files
libxklavier: 39 total files, 0 missing files
libxml2: 353 total files, 0 missing files
libxmu: 45 total files, 0 missing files
libxp: 48 total files, 0 missing files
libxpm: 21 total files, 0 missing files
libxrandr: 32 total files, 0 missing files
libxrender: 18 total files, 0 missing files
libxres: 23 total files, 0 missing files
libxshmfence: 14 total files, 0 missing files
libxslt: 166 total files, 0 missing files
libxss: 29 total files, 0 missing files
libxt: 340 total files, 0 missing files
libxtst: 33 total files, 0 missing files
libxv: 43 total files, 0 missing files
libxvmc: 21 total files, 0 missing files
libxxf86dga: 39 total files, 0 missing files
libxxf86vm: 39 total files, 0 missing files
libyaml: 13 total files, 0 missing files
licenses: 57 total files, 0 missing files
linux: 3941 total files, 0 missing files
linux-api-headers: 736 total files, 0 missing files
linux-firmware: 948 total files, 0 missing files
lirc-utils: 203 total files, 0 missing files
llvm-libs: 7 total files, 0 missing files
logrotate: 14 total files, 0 missing files
lsof: 25 total files, 0 missing files
lua: 33 total files, 0 missing files
lua-lgi: 120 total files, 0 missing files
luajit: 42 total files, 0 missing files
lvm2: 153 total files, 0 missing files
lxappearance: 164 total files, 0 missing files
lxinput: 200 total files, 0 missing files
lxmenu-data: 27 total files, 0 missing files
lxpanel: 388 total files, 0 missing files
lxpolkit: 193 total files, 0 missing files
lxrandr: 184 total files, 0 missing files
lxtask: 148 total files, 0 missing files
lzo2: 33 total files, 0 missing files
m4: 11 total files, 0 missing files
make: 89 total files, 0 missing files
man-db: 205 total files, 0 missing files
man-pages: 3343 total files, 0 missing files
mdadm: 31 total files, 0 missing files
menu-cache: 14 total files, 0 missing files
mesa: 94 total files, 0 missing files
mime-types: 2 total files, 0 missing files
mkinitcpio: 79 total files, 0 missing files
mkinitcpio-busybox: 4 total files, 0 missing files
mozilla-common: 4 total files, 0 missing files
mpfr: 26 total files, 0 missing files
mpg123: 25 total files, 0 missing files
mplayer: 43 total files, 0 missing files
mtdev: 17 total files, 0 missing files
mupdf: 93 total files, 0 missing files
nano: 149 total files, 0 missing files
ncurses: 3609 total files, 0 missing files
net-tools: 27 total files, 0 missing files
nettle: 70 total files, 0 missing files
nitrogen: 33 total files, 0 missing files
nspr: 72 total files, 0 missing files
nss: 126 total files, 0 missing files
ntfs-3g: 99 total files, 0 missing files
nvidia: 8 total files, 0 missing files
nvidia-libgl: 23 total files, 0 missing files
nvidia-utils: 88 total files, 0 missing files
obshutdown: 48 total files, 0 missing files
opencore-amr: 18 total files, 0 missing files
openexr: 131 total files, 0 missing files
openjpeg: 32 total files, 0 missing files
openssh: 57 total files, 0 missing files
openssl: 1349 total files, 0 missing files
opus: 20 total files, 0 missing files
orbit2: 100 total files, 0 missing files
orc: 95 total files, 0 missing files
p11-kit: 76 total files, 0 missing files
p7zip: 253 total files, 0 missing files
package-query: 7 total files, 0 missing files
pacman: 266 total files, 0 missing files
pacman-mirrorlist: 3 total files, 0 missing files
pacmatic: 11 total files, 0 missing files
pam: 565 total files, 0 missing files
pambase: 8 total files, 0 missing files
pango: 151 total files, 0 missing files
pangomm: 73 total files, 0 missing files
parted: 115 total files, 0 missing files
patch: 7 total files, 0 missing files
pciutils: 24 total files, 0 missing files
pcmanfm: 187 total files, 0 missing files
pcmciautils: 21 total files, 0 missing files
pcre: 211 total files, 0 missing files
perl: 3232 total files, 0 missing files
perl-encode-locale: 9 total files, 0 missing files
perl-error: 11 total files, 0 missing files
perl-file-listing: 9 total files, 0 missing files
perl-html-parser: 27 total files, 0 missing files
perl-html-tagset: 9 total files, 0 missing files
perl-http-cookies: 14 total files, 0 missing files
perl-http-daemon: 9 total files, 0 missing files
perl-http-date: 9 total files, 0 missing files
perl-http-message: 27 total files, 0 missing files
perl-http-negotiate: 9 total files, 0 missing files
perl-libwww: 60 total files, 0 missing files
perl-lwp-mediatypes: 10 total files, 0 missing files
perl-net-http: 15 total files, 0 missing files
perl-uri: 72 total files, 0 missing files
perl-www-robotrules: 12 total files, 0 missing files
perl-xml-parser: 55 total files, 0 missing files
perl-xml-simple: 10 total files, 0 missing files
phonon-gstreamer: 31 total files, 0 missing files
phonon-qt4: 205 total files, 0 missing files
pinentry: 9 total files, 0 missing files
pixman: 15 total files, 0 missing files
pkg-config: 13 total files, 0 missing files
pm2ml: 16 total files, 0 missing files
pnmixer: 24 total files, 0 missing files
polkit: 152 total files, 0 missing files
poppler: 173 total files, 0 missing files
poppler-glib: 60 total files, 0 missing files
popt: 113 total files, 0 missing files
printproto: 16 total files, 0 missing files
procps-ng: 63 total files, 0 missing files
psmisc: 101 total files, 0 missing files
pth: 17 total files, 0 missing files
pyalpm: 39 total files, 0 missing files
pygobject2-devel: 18 total files, 0 missing files
pygtk: 678 total files, 0 missing files
pyorbit: 16 total files, 0 missing files
python: 5053 total files, 0 missing files
python-dbus-common: 17 total files, 0 missing files
python-setuptools: 219 total files, 0 missing files
python-xdg: 46 total files, 0 missing files
python2: 4545 total files, 0 missing files
python2-beaker: 79 total files, 0 missing files
python2-cairo: 14 total files, 0 missing files
python2-dbus: 65 total files, 0 missing files
python2-gnomecanvas: 11 total files, 0 missing files
python2-gobject2: 111 total files, 0 missing files
python2-mako: 89 total files, 0 missing files
python2-markupsafe: 32 total files, 0 missing files
python2-notify: 17 total files, 0 missing files
qpdf: 54 total files, 0 missing files
qt3: 1340 total files, 0 missing files
qt4: 4058 total files, 0 missing files
qtwebkit: 67 total files, 0 missing files
randrproto: 16 total files, 0 missing files
readline: 49 total files, 0 missing files
recode: 86 total files, 0 missing files
recordproto: 17 total files, 0 missing files
reflector: 11 total files, 0 missing files
reiserfsprogs: 23 total files, 0 missing files
renderproto: 16 total files, 0 missing files
roxterm: 112 total files, 0 missing files
rsync: 21 total files, 0 missing files
rtmpdump: 25 total files, 0 missing files
ruby: 1067 total files, 0 missing files
run-parts: 28 total files, 0 missing files
s-nail: 14 total files, 0 missing files
sakura: 69 total files, 0 missing files
schroedinger: 90 total files, 0 missing files
scrnsaverproto: 16 total files, 0 missing files
sdl: 223 total files, 0 missing files
sdl_image: 14 total files, 0 missing files
sed: 124 total files, 0 missing files
sg3_utils: 152 total files, 0 missing files
shadow: 545 total files, 0 missing files
shared-color-profiles: 47 total files, 0 missing files
shared-mime-info: 199 total files, 0 missing files
smbclient: 226 total files, 0 missing files
snappy: 23 total files, 0 missing files
sound-theme-freedesktop: 44 total files, 0 missing files
speech-dispatcher: 112 total files, 0 missing files
speex: 41 total files, 0 missing files
sqlite: 19 total files, 0 missing files
ssx: 3 total files, 0 missing files
startup-notification: 16 total files, 0 missing files
statnot: 3 total files, 0 missing files
subtle: 33 total files, 0 missing files
sudo: 153 total files, 0 missing files
sysfsutils: 19 total files, 0 missing files
syslinux: 183 total files, 0 missing files
systemd: 906 total files, 0 missing files
systemd-sysvcompat: 18 total files, 0 missing files
t1lib: 19 total files, 0 missing files
taglib: 115 total files, 0 missing files
talloc: 15 total files, 0 missing files
tar: 124 total files, 0 missing files
tdb: 24 total files, 0 missing files
terminology: 58 total files, 0 missing files
terminus-font: 494 total files, 0 missing files
terminus-font-ttf: 10 total files, 0 missing files
tevent: 18 total files, 0 missing files
texinfo: 518 total files, 0 missing files
ttf-bitstream-vera: 17 total files, 0 missing files
ttf-dejavu: 37 total files, 0 missing files
ttf-ubuntu-font-family: 18 total files, 0 missing files
tzdata: 1808 total files, 0 missing files
udisks: 75 total files, 0 missing files
udisks2: 358 total files, 0 missing files
unclutter: 10 total files, 0 missing files
unison: 11 total files, 0 missing files
unzip: 18 total files, 0 missing files
upower: 86 total files, 0 missing files
usbmuxd: 19 total files, 0 missing files
usbutils: 15 total files, 0 missing files
util-linux: 440 total files, 0 missing files
v4l-utils: 199 total files, 0 missing files
vi: 25 total files, 0 missing files
vicious: 54 total files, 0 missing files
videoproto: 19 total files, 0 missing files
vim-runtime: 1637 total files, 0 missing files
vlc: 1013 total files, 0 missing files
vte: 337 total files, 0 missing files
vte-common: 4 total files, 0 missing files
vte3: 334 total files, 0 missing files
wayland: 126 total files, 0 missing files
webkitgtk2: 514 total files, 0 missing files
which: 9 total files, 0 missing files
wireless_tools: 68 total files, 0 missing files
wpa_supplicant: 32 total files, 0 missing files
x264: 11 total files, 0 missing files
x265: 12 total files, 0 missing files
xbitmaps: 81 total files, 0 missing files
xcb-proto: 63 total files, 0 missing files
xcb-util: 20 total files, 0 missing files
xcb-util-cursor: 14 total files, 0 missing files
xcb-util-image: 16 total files, 0 missing files
xcb-util-keysyms: 14 total files, 0 missing files
xcb-util-renderutil: 14 total files, 0 missing files
xcb-util-wm: 19 total files, 0 missing files
xdg-utils: 25 total files, 0 missing files
xextproto: 60 total files, 0 missing files
xf86-input-evdev: 18 total files, 0 missing files
xf86-input-synaptics: 28 total files, 0 missing files
xf86dgaproto: 18 total files, 0 missing files
xf86vidmodeproto: 14 total files, 0 missing files
xfburn: 233 total files, 0 missing files
xfce4-panel: 324 total files, 0 missing files
xfconf: 198 total files, 0 missing files
xfsprogs: 91 total files, 0 missing files
xineramaproto: 12 total files, 0 missing files
xkeyboard-config: 433 total files, 0 missing files
xlockmore: 18 total files, 0 missing files
xmobar: 10 total files, 0 missing files
xmonad: 50 total files, 0 missing files
xmonad-contrib: 481 total files, 0 missing files
xorg-appres: 10 total files, 0 missing files
xorg-bdftopcf: 10 total files, 0 missing files
xorg-font-util: 36 total files, 0 missing files
xorg-font-utils: 0 total files, 0 missing files
xorg-fonts-alias: 14 total files, 0 missing files
xorg-fonts-encodings: 59 total files, 0 missing files
xorg-fonts-misc: 427 total files, 0 missing files
xorg-luit: 10 total files, 0 missing files
xorg-mkfontdir: 10 total files, 0 missing files
xorg-mkfontscale: 10 total files, 0 missing files
xorg-server: 48 total files, 0 missing files
xorg-server-common: 15 total files, 0 missing files
xorg-setxkbmap: 10 total files, 0 missing files
xorg-xauth: 11 total files, 0 missing files
xorg-xfontsel: 13 total files, 0 missing files
xorg-xinit: 20 total files, 0 missing files
xorg-xkbcomp: 13 total files, 0 missing files
xorg-xmessage: 14 total files, 0 missing files
xorg-xrandr: 10 total files, 0 missing files
xorg-xset: 10 total files, 0 missing files
xorg-xsetroot: 10 total files, 0 missing files
xosd: 46 total files, 0 missing files
xproto: 43 total files, 0 missing files
xscreensaver: 729 total files, 0 missing files
xterm: 36 total files, 0 missing files
xvidcore: 7 total files, 0 missing files
xz: 115 total files, 0 missing files
yajl: 21 total files, 0 missing files
yaourt: 49 total files, 0 missing files
youtube-dl: 816 total files, 0 missing files
zlib: 18 total files, 0 missing files
zsh: 977 total files, 0 missing files
zsh-completion-subtle: 7 total files, 0 missing files
zvbi: 49 total files, 0 missing files
